services,language_code,english,indigenous_language,pronunciation
2,1163,Three,Kollur,
2,1163,Three,Kulur,
2,492,Three,Our,
2,1154,Three,Pinalam,
2,370,Three,MungKalaw Kawaw Yan,
2,312,Three,Bulayabar,
2,204,Three,Bullardoo-wongara,
2,345,Three,Muda Nuda,
2,1112,Three,Neis-netat,
2,357,Three,Tangilla,
2,284,Three,Bullaroo-whychen,
2,993,Three,Gaabu,
2,388,Three,Parrhkulanguru,
2,1106,Three,-,
2,780,Three,Tri,
2,323,Three,Burla Ganar,
2,1049,Three,Wuchama,
2,260,Three,Kuram,
2,338,Three,Barkooleroo,
2,477,Three,Parrkuwatju,
2,1141,Three,Ko'alam,
2,291,Three,Bularu-wadyin,
2,285,Three,Gargun,
2,470,Three,Parku-kurnu,
2,616,Three,Liikanmarra-alkula,
2,298,Three,Bulara-Warba,
2,980,Three,Dagul,
2,289,Three,Bularu-wadyin,
2,1158,Three,Wapayrr,
2,248,Three,Bulayabru,
2,301,Three,Mudden,
2,255,Three,Mudden,
2,1191,Three,Gulibaa,
2,1155,Four,-,
2,281,Four,Bularu-bularu,
2,275,Four,-,
2,498,Four,Bularu-bularu,
2,193,Four,Goonimbilla,
2,290,Four,Bularu Bularu,
2,290,Four,Bularu Bularu,
2,1089,Four,Yugga-Yugga,
2,1089,Four,Tukkin,
2,263,Four,Bula-bula,
2,279,Four,Kangoondie,
2,252,Four,-,
2,182,Four,Buligaa,
2,362,Four,"Wawurlda (few, not many)",
2,618,Four,"Murrku (a few, not many - can refer to 3, 4 or 5)",
2,277,Four,Boolaroo-boolaroo,
2,201,Four,Bula-bula,
2,243,Four,Bulah-bulah,
2,392,Four,Nadera,
2,265,Four,Bomboin,
2,265,Four,Boolar-boolar,
2,1056,Four,-,
2,295,Four,Marrgabala,
2,468,Four,Barcoola barcoola,
2,196,Four,Bularu-bularu,
2,203,Four,Bulardi-Bulardi,
2,192,Four,Balardii-Balardii,
2,250,Four,Boodla Boodla,
2,318,Four,Bular-bular,
2,261,Four,Bula-bula,
2,1064,Four,-,
2,342,Four,,
2,392,Four,Wurrapanta,
2,359,Four,Murgoo,
2,1163,Four,,
2,1163,Four,Jambul-Jambul,
2,492,Four,Adava,
2,1154,Four,Mong your kolele,
2,370,Four,Kiyan Bana Kiyan,
2,312,Four,Bulabula,
2,204,Four,bullardoo-bullardoo,
2,345,Four,Cudgello,
2,1112,Four,-,
2,357,Four,Ticantallio duallio,
2,284,Four,Bullaroo-bullaroo,
2,993,Four,Gaabugaabu (few can refer to four or five),
2,388,Four,Parrhkulaparrkhula,
2,1106,Four,-,
2,780,Four,Po,
2,323,Four,Burla Burla,
2,1049,Four,-,
2,260,Four,Bogo,
2,338,Four,Barkoola-Barkoola,
2,477,Four,Parrkuluparrkulu,
2,1141,Four,Kuchamkucham,
2,291,Four,Bularu-bularu,
2,285,Four,Gungu,
2,470,Four,Parrku-Parrku,
2,616,Four,Leekanmaraalkula,
2,298,Four,Bularu-Bularu,
2,980,Four,Yunggan-gunyjii,
2,289,Four,Bularu-bularu,
2,1158,Four,Morr-maq,
2,248,Four,Bulabula,
2,301,Four,Budela-budela,
2,255,Four,Budela-budela,
2,1191,Four,Buligaa,
2,1155,Five,-,
2,281,Five,Maal,
2,275,Five,Moolloon,
2,498,Five,Mara,
2,193,Five,Marr,
2,290,Five,Bularu Gudbaru,
2,290,Five,Bularu Gulbara,
2,1089,Five,Mundi,
2,1089,Five,Munndai,
2,263,Five,Bi,
2,279,Five,Illy,
2,252,Five,-,
2,182,Five,Maa,
2,362,Five,Marlda,
2,618,Five,Mani,
2,277,Five,Marra,
2,201,Five,Maa,
2,243,Five,Danggan,
2,392,Five,Murra,
2,265,Five,Birroo,
2,265,Five,Boolar Boolar Neular,
2,1056,Five,Ata,
2,295,Five,Mara,
2,468,Five,Murra,
2,196,Five,Marda,
2,203,Five,Marda,
2,192,Five,Marda,
2,250,Five,Murra,
2,318,Five,Maa,
2,261,Five,Pirri,
2,1064,Five,-,
2,342,Five,Makathi,
2,392,Five,Marapithuru,
2,359,Five,Malla,
2,1163,Five,Murra,
2,1163,Five,Murra,
2,492,Five,Murra,
2,1154,Five,Yuur,
2,370,Five,Marlda,
2,312,Five,Dunngunn,
2,204,Five,Marda,
2,345,Five,Mullero,
2,1112,Five,-,
2,357,Five,Nungurra,
2,284,Five,Malla,
2,993,Five,Gaabugaabu (few can refer to four or five),
2,388,Five,Mara,
2,1106,Five,'a,
2,780,Five,Paib,
2,323,Five,Marra,
2,1049,Five,-,
2,260,Five,Na,
2,338,Five,Marrkana,
2,477,Five,Mara,
2,1141,Five,Ma',
2,291,Five,Mara,
2,285,Five,Mala,
2,470,Five,Mara,
2,616,Five,Liijakara,
2,298,Five,Mara,
2,980,Five,Mala,
2,289,Five,Mala,
2,1158,Five,Yorthelemrr,
2,248,Five,Dunngunn,
2,301,Five,Mudden-budela,
2,255,Five,Mudden-budela,
2,1191,Five,Maa,
2,1155,Many,Makyan,
2,281,Many,Dalmarri,
2,275,Many,-,
2,498,Many,Banya Banya,
2,193,Many,Mayburra,
2,290,Many,Dalgay,
2,290,Many,Moorgi,
2,1089,Many,Kundil,
2,1089,Many,Duckin,
2,263,Many,Banggan,
